country,site_name,latitude,longitude,year,species_complex,collection_method,present,citation
Kenya,Kilibwoni Health Centre,0.2167,35.2333,2004,An. gambiae complex,HRI,TRUE,"Kristan (2008) Variations in entomological indices in relation to weather patterns and malaria incidence in East African highlands: implications for epidemic prevention and control Malar J, 10.1186_1475-2875-7-231"
Kenya,Kilibwoni Health Centre,0.2167,35.2333,2004,An. gambiae complex,HRI,TRUE,"Kristan (2008) Variations in entomological indices in relation to weather patterns and malaria incidence in East African highlands: implications for epidemic prevention and control Malar J, 10.1186_1475-2875-7-231"
Kenya,Sengera Health Centre,-0.8667,34.7167,2004,An. gambiae complex,HRI,TRUE,"Kristan (2008) Variations in entomological indices in relation to weather patterns and malaria incidence in East African highlands: implications for epidemic prevention and control Malar J, 10.1186_1475-2875-7-231"
Kenya,Sengera Health Centre,-0.8667,34.7167,2004,An. gambiae complex,HRI,TRUE,"Kristan (2008) Variations in entomological indices in relation to weather patterns and malaria incidence in East African highlands: implications for epidemic prevention and control Malar J, 10.1186_1475-2875-7-231"
Kenya,Kamasengere west,-0.424004799,34.13571951,1997,An. gambiae complex,HRI,TRUE,"Shililu (2003) Spatial distribution of Anopheles gambiae and Anopheles funestus and malaria transmission in Suba District, Western Kenya Insect Sci Applic, NA"
Kenya,Kaswanga,-0.391141268,34.18612257,1997,An. gambiae complex,HRI,FALSE,"Shililu (2003) Spatial distribution of Anopheles gambiae and Anopheles funestus and malaria transmission in Suba District, Western Kenya Insect Sci Applic, NA"
Kenya,Waware,-0.376371142,34.2162167,1997,An. gambiae complex,HRI,FALSE,"Shililu (2003) Spatial distribution of Anopheles gambiae and Anopheles funestus and malaria transmission in Suba District, Western Kenya Insect Sci Applic, NA"
Kenya,Owich,-0.756847941,34.0834893,1998,An. gambiae complex,HRI,FALSE,"Shililu (2003) Spatial distribution of Anopheles gambiae and Anopheles funestus and malaria transmission in Suba District, Western Kenya Insect Sci Applic, NA"
Kenya,Kisaku,-0.6614,34.11,1997,An. gambiae complex,HRI,FALSE,"Shililu (2003) Spatial distribution of Anopheles gambiae and Anopheles funestus and malaria transmission in Suba District, Western Kenya Insect Sci Applic, NA"
Kenya,Kisaku,-0.6614,34.11,1997,An. gambiae complex,HRI,FALSE,"Shililu (2003) Spatial distribution of Anopheles gambiae and Anopheles funestus and malaria transmission in Suba District, Western Kenya Insect Sci Applic, NA"
